x,y,critical_factor,m,n_percent,n,fpp,fpr
2,13,0.35,10,0.5,5,0.4095099999999861,0.3934693402873666
2,13,0.35,10,0.75,7,0.5217030999999948,0.5034146962085904
2,13,0.6,16,0.25,4,0.2275238037109375,0.22119921692859512
2,13,0.6,16,0.5,8,0.4032805261667818,0.3934693402873666
2,13,0.6,16,0.75,12,0.5390484106017048,0.5276334472589852
2,13,0.8499999999999999,23,0.25,5,0.19929188394498173,0.19538494167464704
2,13,0.8499999999999999,23,0.5,11,0.3867419003702792,0.38013952684362873
2,13,0.8499999999999999,23,0.75,17,0.530308866808985,0.5224710223776659
2,17,0.1,4,0.25,1,0.25,0.22119921692859512
2,17,0.1,4,0.5,2,0.4375,0.3934693402873666
2,17,0.1,4,0.75,3,0.578125,0.5276334472589852
2,17,0.35,12,0.25,3,0.229745370370952,0.22119921692859512
2,17,0.35,12,0.5,6,0.40670780553399277,0.3934693402873666
2,17,0.35,12,0.75,9,0.5430139404895282,0.5276334472589852
2,17,0.6,21,0.25,5,0.21647383354573302,0.2118723722546889
2,17,0.6,21,0.5,10,0.3860867464928308,0.3788548423845485
2,17,0.6,21,0.75,15,0.5189829019070887,0.5104583404430469
2,17,0.8499999999999999,29,0.25,7,0.21780130065434913,0.21445639494507918
2,17,0.8499999999999999,29,0.5,14,0.3881563412522226,0.3829212445573186
2,17,0.8499999999999999,29,0.75,21,0.5214132143844563,0.5152577298467522
2,19,0.1,4,0.25,1,0.25,0.22119921692859512
2,19,0.1,4,0.5,2,0.4375,0.3934693402873666
2,19,0.1,4,0.75,3,0.578125,0.5276334472589852
2,19,0.35,14,0.25,3,0.19934402332839293,0.1928822529946107
2,19,0.35,14,0.5,7,0.4047392922257547,0.3934693402873666
2,19,0.35,14,0.75,10,0.523400956639946,0.5104583404430469
2,19,0.6,23,0.25,5,0.19929188394498173,0.19538494167464704
2,19,0.6,23,0.5,11,0.3867419003702792,0.38013952684362873
2,19,0.6,23,0.75,17,0.530308866808985,0.5224710223776659
2,19,0.8499999999999999,33,0.25,8,0.21821672759911692,0.2152768059462441
2,19,0.8499999999999999,33,0.5,16,0.3888091232683263,0.38420950871407133
2,19,0.8499999999999999,33,0.75,24,0.5221793476116807,0.5167749188101746
2,23,0.1,5,0.25,1,0.2,0.18126924692201818
2,23,0.1,5,0.5,2,0.35999999999999943,0.3296799539643607
2,23,0.1,5,0.75,3,0.4880000000000001,0.4511883639059735
2,23,0.35,17,0.25,4,0.21533506536963395,0.2096616370185017
2,23,0.35,17,0.5,8,0.3843009404591895,0.3753652719997256
2,23,0.35,17,0.75,12,0.5168825377328747,0.5063272116108697
2,23,0.6,28,0.25,7,0.22475277562201346,0.22119921692859512
2,23,0.6,28,0.5,14,0.3989919864028552,0.3934693402873666
2,23,0.6,28,0.75,21,0.5340703061334723,0.5276334472589852
2,23,0.8499999999999999,40,0.25,10,0.21798086182918805,0.22119921692859512
2,23,0.8499999999999999,40,0.5,20,0.3972800384861911,0.3934693402873666
